% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 10,000 x probe attenuation
% Time span 5.000 s, time offset 0.000 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-01-29 T 09:37:09 -0500
% Time (s), Channel A (V), Channel B (V)
-2.8274128000e+00, 3.2971710446e+00, -1.3994381563e-03
-2.8270626560e+00, 3.2967572292e+00, -1.8660477601e-03
-2.8267125120e+00, 3.2975865342e+00, -1.6671485102e-03
-2.8263623680e+00, 3.2989055533e+00, -4.7124165702e-04
-2.8260122240e+00, 3.2977196360e+00, -2.0219191419e-04
-2.8256620800e+00, 3.2978125561e+00, 9.1485841824e-04
-2.8253119360e+00, 3.2970371057e+00, -3.6163499971e-04
-2.8249617920e+00, 3.2975756517e+00, 3.4913403675e-04
-2.8246116480e+00, 3.2970485463e+00, 7.7059507345e-04
-2.8242615040e+00, 3.2964374501e+00, 8.4275464978e-04
-2.8239113600e+00, 3.2965097213e+00, 5.0115467552e-05
-2.8235612160e+00, 3.2965772488e+00, -2.4159227064e-04
-2.8232110720e+00, 3.2966788192e+00, 7.0033296471e-04
-2.8228609280e+00, 3.2970527319e+00, 2.3165846972e-04
-2.8225107840e+00, 3.2969944127e+00, 2.2529637250e-04
-2.8221606400e+00, 3.2962786767e+00, 1.0758641241e-03
-2.8218104960e+00, 3.2962100330e+00, 1.1354111218e-03
-2.8214603520e+00, 3.2953377559e+00, 3.4712495342e-04
-2.8211102080e+00, 3.2957861722e+00, -8.4269884191e-05
-2.8207600640e+00, 3.2967630890e+00, 1.1615292051e-03
-2.8204099200e+00, 3.2972821023e+00, 5.5283276344e-04
-2.8200597760e+00, 3.2978452037e+00, 6.6902474946e-04
-2.8197096320e+00, 3.2963933619e+00, -3.1944424974e-04
-2.8193594880e+00, 3.2965786440e+00, -1.4422427928e-03
-2.8190093440e+00, 3.2966952825e+00, -1.1469075430e-03
-2.8186592000e+00, 3.2968311746e+00, -1.3137730753e-03
-2.8183090560e+00, 3.2959689430e+00, 3.2307176131e-04
-2.8179589120e+00, 3.2958154713e+00, -4.7955702970e-04
-2.8176087680e+00, 3.2966294292e+00, 7.6847437438e-05
-2.8172586240e+00, 3.2964020121e+00, 4.6169851120e-04
-2.8169084800e+00, 3.2970320830e+00, 1.5344932025e-03
-2.8165583360e+00, 3.2963517850e+00, -8.8751256178e-04
-2.8162081920e+00, 3.2957875674e+00, -8.1674818221e-04
-2.8158580480e+00, 2.4051929593e+00, -1.5178624571e-03
-2.8155079040e+00, 1.4382247177e-02, -2.4274749355e-03
-2.8151577600e+00, 1.3470346518e-02, -2.6813449376e-03
-2.8148076160e+00, 1.3823331320e-02, -2.4477331925e-03
-2.8144574720e+00, 1.4979391428e-02, -3.2671601524e-03
-2.8141073280e+00, 1.5281032986e-02, -3.0323764420e-03
-2.8137571840e+00, 1.4621941995e-02, -2.5415462225e-03
-2.8134070400e+00, 1.3960060611e-02, -2.8637250579e-03
-2.8130568960e+00, 1.3942202091e-02, -2.5856902479e-03
-2.8127067520e+00, 1.3782870612e-02, -2.7401664330e-03
-2.8123566080e+00, 1.4204220059e-02, -2.8938613078e-03
-2.8120064640e+00, 1.4025076784e-02, -2.9100455902e-03
-2.8116563200e+00, 1.3977640091e-02, -1.8155974453e-03
-2.8113061760e+00, 1.4529300925e-02, -2.9200910069e-03
-2.8109560320e+00, 1.4792714089e-02, -3.4959166129e-03
-2.8106058880e+00, 1.5839948843e-02, -3.2453392751e-03
-2.8102557440e+00, 1.4724628483e-02, -3.5601514716e-03
-2.8099056000e+00, 1.4342344547e-02, -3.7917541335e-03
-2.8095554560e+00, 1.3859606438e-02, -3.0850032637e-03
-2.8092053120e+00, 1.3542059636e-02, -2.0859865770e-03
