% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 10,000 x probe attenuation
% Time span 5.000 s, time offset 0.000 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-01-29 T 09:37:09 -0500
% Time (s), Channel A (V), Channel B (V)
-2.3627717120e+00, 1.5302239978e-02, -1.8796648804e-03
-2.3624215680e+00, 1.5561467552e-02, -2.2684225051e-03
-2.3620714240e+00, 1.5119190152e-02, -2.6579056321e-03
-2.3617212800e+00, 1.4479910956e-02, -2.6306155835e-03
-2.3613711360e+00, 1.5563141788e-02, -2.5397045627e-03
-2.3610209920e+00, 1.5315633868e-02, -8.4152687663e-04
-2.3606708480e+00, 1.5030455632e-02, -8.4660539283e-04
-2.3603207040e+00, 1.4591526704e-02, -1.9227485563e-03
-2.3599705600e+00, 1.5592999001e-02, -2.2237762088e-03
-2.3596204160e+00, 1.5079845600e-02, -2.1167925214e-03
-2.3592702720e+00, 1.4479631917e-02, -1.6365657973e-03
-2.3589201280e+00, 1.4335647602e-02, -1.7082789106e-03
-2.3585699840e+00, 1.4981065664e-02, -1.7330576051e-03
-2.3582198400e+00, 1.4896795774e-02, -2.5160420257e-03
-2.3578696960e+00, 1.4964323302e-02, -1.0318317144e-03
-2.3575195520e+00, 1.5322330812e-02, -1.0455046427e-03
-2.3571694080e+00, 1.5898826150e-02, -1.3439093253e-03
-2.3568192640e+00, 1.5370046545e-02, -1.3884440058e-03
-2.3564691200e+00, 1.4825082656e-02, -2.5316682294e-03
-2.3561189760e+00, 1.6057599551e-02, -2.8123818172e-03
-2.3557688320e+00, 1.5509287190e-02, -2.8133863588e-03
-2.3554186880e+00, 1.5118911112e-02, -3.0431473610e-03
-2.3550685440e+00, 1.6288086070e-02, -3.2947292404e-03
-2.3547184000e+00, 1.6132661141e-02, -2.0274441210e-03
-2.3543682560e+00, 1.6218047188e-02, -1.6625722649e-03
-2.3540181120e+00, 1.5335445663e-02, -2.3972828777e-03
-2.3536679680e+00, 1.5388463143e-02, -2.5615254400e-03
-2.3533178240e+00, 1.6441278684e-02, -2.9710435925e-03
-2.3529676800e+00, 1.5035757380e-02, -3.3077324742e-03
-2.3526175360e+00, 1.5890175929e-02, -2.3844470675e-03
-2.3522673920e+00, 1.4458424925e-02, -1.3972616493e-03
-2.3519172480e+00, 1.5620344859e-02, -6.8308833278e-04
-2.3515671040e+00, 1.5741168906e-02, -1.0807752167e-03
-2.3512169600e+00, 1.6719759974e-02, -3.7240591868e-04
-2.3508668160e+00, 1.7115716840e-02, -1.0037045478e-03
-2.3505166720e+00, 1.7243516871e-02, -6.0958936756e-04
-2.3501665280e+00, 1.6574101424e-02, -1.2499846795e-03
-2.3498163840e+00, 1.6112012228e-02, -2.4168714402e-03
-2.3494662400e+00, 1.6215256795e-02, -3.0089929443e-03
-2.3491160960e+00, 1.5328469679e-02, -2.4106767666e-03
-2.3487659520e+00, 1.5940961094e-02, -1.6913133181e-03
-2.3484158080e+00, 1.5852505614e-02, -1.9144331836e-03
-2.3480656640e+00, 1.5358605931e-02, -3.1973445067e-03
-2.3477155200e+00, 1.5074264813e-02, -2.3233374495e-03
-2.3473653760e+00, 1.6438209251e-02, -1.8355208550e-04
-2.3470152320e+00, 1.6454393534e-02, -1.7211147208e-04
-2.3466650880e+00, 1.6302875157e-02, -1.3151124642e-03
-2.3463149440e+00, 1.6893322462e-02, -2.2241110561e-03
-2.3459648000e+00, 1.7119065312e-02, -2.4267494332e-03
-2.3456146560e+00, 1.6644140305e-02, -2.6908880835e-03
-2.3452645120e+00, 1.5868689898e-02, -2.4024730096e-03
-2.3449143680e+00, 1.5839111725e-02, -3.0704374095e-03
-2.3445642240e+00, 1.6004582071e-02, -1.2338562050e-03
-2.3442140800e+00, 1.5723868465e-02, 3.3568434000e-04
-2.3438639360e+00, 1.5898268071e-02, -6.8141409667e-04
-2.3435137920e+00, 1.6382122337e-02, -2.3500694194e-04
-2.3431636480e+00, 1.5882920906e-02, -1.0908206334e-03
-2.3428135040e+00, 1.6618189644e-02, -6.3721426337e-04
-2.3424633600e+00, 1.5429202891e-02, -2.4441056809e-03
-2.3421132160e+00, 1.5530773221e-02, -2.8849878565e-03
-2.3417630720e+00, 1.5772700355e-02, -3.2476273978e-03
-2.3414129280e+00, 1.7312160556e-02, -1.3456393693e-03
-2.3410627840e+00, 1.6961966147e-02, -1.7331134129e-03
-2.3407126400e+00, 1.6446580432e-02, -1.1322300732e-03
-2.3403624960e+00, 1.6404166448e-02, -1.8148719430e-03
-2.3400123520e+00, 1.5620065820e-02, -2.2696502782e-03
-2.3396622080e+00, 1.5305030372e-02, -2.5505870975e-03
-2.3393120640e+00, 1.6330779093e-02, -2.3717786809e-03
-2.3389619200e+00, 1.6666184415e-02, -2.0264953872e-03
-2.3386117760e+00, 1.5771584197e-02, -1.0875837769e-03
-2.3382616320e+00, 1.5500357930e-02, -1.0707298001e-03
-2.3379114880e+00, 1.5789442717e-02, -1.2109749782e-03
-2.3375613440e+00, 1.5992304338e-02, -1.5582115473e-03
-2.3372112000e+00, 1.6058436669e-02, -1.4133343160e-03
-2.3368610560e+00, 1.6298131487e-02, -2.0022189636e-03
-2.3365109120e+00, 1.6315990007e-02, -1.9800074313e-03
-2.3361607680e+00, 1.6952757848e-02, -1.2919521980e-03
-2.3358106240e+00, 1.6005419189e-02, -9.8383694596e-04
-2.3354604800e+00, 1.6532524558e-02, -1.5133978275e-03
-2.3351103360e+00, 1.6081317897e-02, -1.0465091843e-03
-2.3347601920e+00, 1.6096665063e-02, 6.7527523093e-06
-2.3344100480e+00, 1.7239610320e-02, -2.0826381048e-03
-2.3340599040e+00, 1.7320810776e-02, -2.3070415514e-03
-2.3337097600e+00, 1.6670649045e-02, -1.9081827022e-03
-2.3333596160e+00, 1.6677625030e-02, -1.1332904227e-03
-2.3330094720e+00, 1.7255794603e-02, -1.0005793071e-03
-2.3326593280e+00, 1.6781148636e-02, -7.1238746470e-04
-2.3323091840e+00, 1.7035353501e-02, -7.6015900170e-04
-2.3319590400e+00, 1.7116553958e-02, -8.2484032340e-04
-2.3316088960e+00, 1.6459695282e-02, -9.4778506173e-04
-2.3312587520e+00, 1.6519130668e-02, -2.6564546275e-04
-2.3309086080e+00, 1.5839948843e-02, -6.9670545314e-04
-2.3305584640e+00, 1.7083069233e-02, -1.0158148557e-03
-2.3302083200e+00, 1.7023633848e-02, -1.3120988392e-03
-2.3298581760e+00, 1.5197879254e-02, -1.9315103919e-03
-2.3295080320e+00, 1.5578209914e-02, -1.4182454086e-03
-2.3291578880e+00, 1.4859962577e-02, -7.6562817299e-04
-2.3288077440e+00, 1.5142071380e-02, -9.1190060111e-04
-2.3284576000e+00, 1.6041415267e-02, -1.0034255084e-03
-2.3281074560e+00, 1.6251531913e-02, -3.0197080554e-03
-2.3277573120e+00, 1.5941519173e-02, -2.7989321204e-03
-2.3274071680e+00, 1.5030734671e-02, -2.4461705721e-03
-2.3270570240e+00, 1.5430319048e-02, -2.1227639636e-03
-2.3267068800e+00, 1.4897911932e-02, -7.9861062435e-04
-2.3263567360e+00, 1.6495970400e-02, -2.8874992106e-04
-2.3260065920e+00, 1.6823562620e-02, 1.8109653920e-04
-2.3256564480e+00, 1.6526106652e-02, 3.2005813631e-04
-2.3253063040e+00, 1.6679020226e-02, 4.7916637461e-04
-2.3249561600e+00, 1.5721357111e-02, -9.5269615432e-04
-2.3246060160e+00, 1.6133219220e-02, -5.0299633524e-04
-2.3242558720e+00, 1.6235347629e-02, -1.1249192421e-03
-2.3239057280e+00, 1.5752609520e-02, -1.2681222374e-03
-2.3235555840e+00, 1.6419513613e-02, -2.0550690168e-03
-2.3232054400e+00, 1.7039818131e-02, -1.8369160517e-03
-2.3228552960e+00, 1.7340343532e-02, -2.1052402923e-03
-2.3225051520e+00, 1.7200265768e-02, -1.7101763782e-03
-2.3221550080e+00, 1.5589371489e-02, -2.5004158220e-03
-2.3218048640e+00, 1.5934264150e-02, -2.2547495769e-03
-2.3214547200e+00, 1.5919196024e-02, -2.8522844444e-03
-2.3211045760e+00, 1.6130707866e-02, -1.8073936883e-03
-2.3207544320e+00, 1.6111175110e-02, -1.6017974941e-03
-2.3204042880e+00, 1.5915289472e-02, -2.7444636390e-03
-2.3200541440e+00, 1.5342979726e-02, -1.5203180034e-03
-2.3197040000e+00, 1.5666107316e-02, -1.9834675192e-03
-2.3193538560e+00, 1.4849638121e-02, -3.0773017776e-03
-2.3190037120e+00, 1.5955192102e-02, -3.2846280158e-03
-2.3186535680e+00, 1.6480623235e-02, -2.9243882129e-03
-2.3183034240e+00, 1.4866101444e-02, -1.2814603184e-03
-2.3179532800e+00, 1.4997808026e-02, -1.0871931218e-03
-2.3176031360e+00, 1.5864225268e-02, -1.7045397833e-03
-2.3172529920e+00, 1.5321772734e-02, -4.5901973342e-04
-2.3169028480e+00, 1.6287807031e-02, -1.0071088279e-03
-2.3165527040e+00, 1.4601014043e-02, -2.4834502295e-05
-2.3162025600e+00, 1.5047477034e-02, -1.3617678438e-03
-2.3158524160e+00, 7.5771327002e-01, -1.3593122975e-03
-2.3155022720e+00, 3.2975346329e+00, 4.5555964546e-04
-2.3151521280e+00, 3.2986005633e+00, 9.5252873071e-04
-2.3148019840e+00, 3.2991299010e+00, 1.2017666796e-03
-2.3144518400e+00, 3.2989761503e+00, 1.0744689274e-03
-2.3141016960e+00, 3.2989931717e+00, 6.9955165452e-04
-2.3137515520e+00, 3.2987406411e+00, 1.6891926190e-03
-2.3134014080e+00, 3.2981119654e+00, 1.0438862144e-03
-2.3130512640e+00, 3.2984049567e+00, 2.2312544635e-03
-2.3127011200e+00, 3.2981412645e+00, 1.7987434684e-03
-2.3123509760e+00, 3.2979344963e+00, 1.9546148503e-03
-2.3120008320e+00, 3.2985734965e+00, 8.5207456412e-04
-2.3116506880e+00, 3.2973956713e+00, 2.0855401140e-04
-2.3113005440e+00, 3.2972541983e+00, 4.4841623806e-04
-2.3109504000e+00, 3.2980475073e+00, 1.4490513530e-03
-2.3106002560e+00, 3.2981114073e+00, 2.2543031139e-03
-2.3102501120e+00, 3.2983446842e+00, 1.4349877697e-03
-2.3098999680e+00, 3.2981990256e+00, 1.6675949732e-03
-2.3095498240e+00, 3.2983845868e+00, 9.4058584646e-04
-2.3091996800e+00, 3.2978334841e+00, 1.8606343966e-04
-2.3088495360e+00, 3.2977673517e+00, 7.6646529104e-04
-2.3084993920e+00, 3.2975042176e+00, 6.2571784208e-04
-2.3081492480e+00, 3.2977919072e+00, -2.4929375674e-04
-2.3077991040e+00, 3.2981786558e+00, 4.0633710384e-04
-2.3074489600e+00, 3.2982286038e+00, 3.2976870575e-04
-2.3070988160e+00, 3.2983926790e+00, 7.4375148782e-04
-2.3067486720e+00, 3.2983000379e+00, 3.3579595575e-04
-2.3063985280e+00, 3.2975993700e+00, 6.8827846472e-04
-2.3060483840e+00, 3.2982453462e+00, 1.0659861311e-03
-2.3056982400e+00, 3.2973878582e+00, 7.8622127714e-04
-2.3053480960e+00, 3.2978778513e+00, 2.1557464149e-03
-2.3049979520e+00, 3.2969464179e+00, 1.5981699825e-03
-2.3046478080e+00, 3.2969190721e+00, 9.0475719371e-04
-2.3042976640e+00, 3.2965892475e+00, 1.2915057351e-03
-2.3039475200e+00, 3.2980299278e+00, 1.2820183971e-03
-2.3035973760e+00, 3.2972195975e+00, 1.2092449342e-03
-2.3032472320e+00, 3.2973515831e+00, 6.7516361519e-04
-2.3028970880e+00, 3.2974838477e+00, 8.4526600394e-04
-2.3025469440e+00, 3.2972458272e+00, 1.1596875454e-04
-2.3021968000e+00, 3.2984376043e+00, 4.2905090706e-04
-2.3018466560e+00, 3.2979774684e+00, -4.8530524035e-04
-2.3014965120e+00, 3.2982791099e+00, -4.3675239316e-04
-2.3011463680e+00, 3.2980581108e+00, 5.1136751579e-04
-2.3007962240e+00, 3.2982810632e+00, 1.2196251981e-03
-2.3004460800e+00, 3.2991285058e+00, 1.0642560871e-04
-2.3000959360e+00, 3.2979012906e+00, 5.8615006202e-04
-2.2997457920e+00, 3.2976585264e+00, 1.2150489527e-03
-2.2993956480e+00, 3.2983684025e+00, 5.0227083292e-05
-2.2990455040e+00, 3.2986759039e+00, -5.4306638613e-04
-2.2986953600e+00, 3.2979116151e+00, -2.0001540724e-04
-2.2983452160e+00, 3.2974902656e+00, 8.2316608729e-05
-2.2979950720e+00, 3.2977734906e+00, 1.2681780453e-03
-2.2976449280e+00, 3.2970957040e+00, 1.6727292973e-03
-2.2972947840e+00, 3.2974606875e+00, 1.2377069481e-03
-2.2969446400e+00, 3.2974757556e+00, 1.8711262763e-03
-2.2965944960e+00, 3.2982140938e+00, 5.0640061533e-04
-2.2962443520e+00, 3.2982503689e+00, -6.7466134436e-04
-2.2958942080e+00, 3.2982258134e+00, -3.8345587700e-04
-2.2955440640e+00, 3.2977285653e+00, 1.2075148902e-03
-2.2951939200e+00, 3.2990732560e+00, 1.1863078995e-03
-2.2948437760e+00, 3.2986996223e+00, 1.0254138094e-03
-2.2944936320e+00, 3.2986477209e+00, 3.9305483070e-04
-2.2941434880e+00, 3.2972424787e+00, 1.6799285125e-03
-2.2937933440e+00, 3.2976253207e+00, 1.3632188484e-03
-2.2934432000e+00, 3.2985428021e+00, 3.4511587009e-04
-2.2930930560e+00, 3.2987660336e+00, 2.1106536557e-04
-2.2927429120e+00, 3.2988352354e+00, 5.7309102037e-04
-2.2923927680e+00, 3.2990121464e+00, -5.5138175881e-05
-2.2920426240e+00, 3.2986733926e+00, -2.2758449519e-04
-2.2916924800e+00, 3.2979654697e+00, -3.6643447655e-04
-2.2913423360e+00, 3.2990177271e+00, -9.3846514739e-04
-2.2909921920e+00, 3.2984727633e+00, -9.7998620291e-04
-2.2906420480e+00, 3.2986226074e+00, -1.2506543740e-04
-2.2902919040e+00, 3.2983441261e+00, -2.2641252991e-04
-2.2899417600e+00, 3.2988567214e+00, -1.1814526148e-04
-2.2895916160e+00, 3.2983642169e+00, 4.6432148110e-05
-2.2892414720e+00, 3.2993595504e+00, 1.7635287023e-04
-2.2888913280e+00, 3.2988338402e+00, 2.5325611553e-04
-2.2885411840e+00, 3.2984317445e+00, 3.8178164089e-04
-2.2881910400e+00, 3.2982297200e+00, 7.3906362671e-04
-2.2878408960e+00, 3.2985243855e+00, 1.1669983764e-03
-2.2874907520e+00, 3.2994800954e+00, 6.0880805738e-04
-2.2871406080e+00, 3.2987559882e+00, 1.0045416658e-04
-2.2867904640e+00, 3.2986234445e+00, 1.3986568461e-03
-2.2864403200e+00, 3.2984490449e+00, 4.8552847183e-04
-2.2860901760e+00, 3.2983134318e+00, 1.1373643972e-04
-2.2857400320e+00, 3.2980902003e+00, 8.8589413354e-04
-2.2853898880e+00, 3.2981934449e+00, 1.3837003368e-03
-2.2850397440e+00, 3.2979498435e+00, 1.2325726240e-03
-2.2846896000e+00, 3.2990029381e+00, 1.2652202281e-03
-2.2843394560e+00, 3.2986862284e+00, 6.6802020779e-05
-2.2839893120e+00, 3.2980971763e+00, 2.2602187482e-04
-2.2836391680e+00, 3.2986270720e+00, 1.5844412464e-03
-2.2832890240e+00, 3.2984043986e+00, 9.4315300849e-04
-2.2829388800e+00, 3.2992278438e+00, 2.0975946140e-03
-2.2825887360e+00, 3.2993754556e+00, 2.1345952321e-03
-2.2822385920e+00, 3.3001793680e+00, 1.0677719829e-03
-2.2818884480e+00, 3.2990598621e+00, 4.6716768249e-04
-2.2815383040e+00, 3.2992387263e+00, 1.0846259598e-03
-2.2811881600e+00, 3.2994535866e+00, 1.3606516864e-03
-2.2808380160e+00, 3.2984256056e+00, 2.4402549378e-03
-2.2804878720e+00, 3.2984281170e+00, 2.0172312808e-03
-2.2801377280e+00, 3.2981867479e+00, 2.0996036974e-03
-2.2797875840e+00, 3.2980876889e+00, 1.9038296883e-03
-2.2794374400e+00, 3.2985880065e+00, 4.3792435844e-04
-2.2790872960e+00, 3.2995227884e+00, -5.6354787454e-04
-2.2787371520e+00, 3.2998291736e+00, 1.6736780310e-04
-2.2783870080e+00, 3.2987141323e+00, -2.9410747661e-05
-2.2780368640e+00, 3.2993232753e+00, 6.9597995082e-04
-2.2776867200e+00, 3.2989714066e+00, 5.3620201808e-04
-2.2773365760e+00, 3.2989521529e+00, -7.7545035817e-04
-2.2769864320e+00, 3.2997094657e+00, -1.1254215130e-03
-2.2766362880e+00, 3.2989912184e+00, 3.5209185388e-04
-2.2762861440e+00, 3.2989089018e+00, 2.7457472200e-04
-2.2759360000e+00, 3.2985441973e+00, 2.0253234220e-03
-2.2755858560e+00, 3.2982110243e+00, 6.7443811288e-04
-2.2752357120e+00, 3.2981111282e+00, -3.1531446734e-05
-2.2748855680e+00, 3.2980190452e+00, 2.9673044652e-04
-2.2745354240e+00, 3.2967385336e+00, -7.1707532581e-04
-2.2741852800e+00, 3.2972723359e+00, -1.3552383230e-03
-2.2738351360e+00, 3.2971529070e+00, -1.2239224041e-03
-2.2734849920e+00, 3.2966015252e+00, -3.3652145806e-04
-2.2731348480e+00, 3.2971372808e+00, 7.9068590676e-04
-2.2727847040e+00, 3.2984030034e+00, -2.0743785400e-04
-2.2724345600e+00, 3.2987333860e+00, 2.3746248823e-04
-2.2720844160e+00, 3.2980321601e+00, 9.0230164741e-04
-2.2717342720e+00, 3.2971883450e+00, 6.9123628185e-04
-2.2713841280e+00, 3.2971989485e+00, 1.3923505567e-03
-2.2710339840e+00, 3.2975658853e+00, 9.5403554321e-04
-2.2706838400e+00, 3.2984529515e+00, 1.2886037258e-04
-2.2703336960e+00, 3.2983452423e+00, -1.0117966890e-04
-2.2699835520e+00, 3.2978555282e+00, 1.6000116422e-04
-2.2696334080e+00, 3.2981708427e+00, 4.9814105052e-04
-2.2692832640e+00, 3.2971833223e+00, -2.8249943959e-04
-2.2689331200e+00, 3.2973038673e+00, 9.6218349227e-04
-2.2685829760e+00, 3.2968348022e+00, 8.9331658029e-04
-2.2682328320e+00, 3.2970803568e+00, -9.0665466130e-04
-2.2678826880e+00, 3.2982040483e+00, 1.3098107165e-04
-2.2675325440e+00, 3.2981864689e+00, -1.0268648140e-04
-2.2671824000e+00, 3.2977880006e+00, 1.3488762258e-04
-2.2668322560e+00, 3.2984540676e+00, 2.1190248362e-04
-2.2664821120e+00, 3.2979724457e+00, 2.2987261787e-04
-2.2661319680e+00, 3.2977397268e+00, 7.1858213830e-04
-2.2657818240e+00, 3.2970739389e+00, 1.4811966863e-03
-2.2654316800e+00, 3.2976627120e+00, 1.7135806583e-03
-2.2650815360e+00, 3.2977380526e+00, 7.2165157117e-04
-2.2647313920e+00, 3.2976819657e+00, 1.3879417350e-03
-2.2643812480e+00, 3.2974213429e+00, 1.6992380357e-03
-2.2640311040e+00, 3.2981527051e+00, 1.2820742050e-03
-2.2636809600e+00, 3.2970672420e+00, 1.5894639547e-03
-2.2633308160e+00, 3.2981493566e+00, 6.4497155735e-04
-2.2629806720e+00, 3.2988424904e+00, 1.1972462421e-03
-2.2626305280e+00, 3.2993430871e+00, 1.2620391795e-03
-2.2622803840e+00, 3.2989970782e+00, 9.2384348536e-04
-2.2619302400e+00, 3.2983723091e+00, 1.1220172329e-03
-2.2615800960e+00, 3.2981013619e+00, -7.1255488831e-04
-2.2612299520e+00, 3.2989694533e+00, 2.7848127292e-05
-2.2608798080e+00, 3.2987587786e+00, -1.2522728022e-03
-2.2605296640e+00, 3.2990782787e+00, 7.7600843687e-04
-2.2601795200e+00, 3.2986379546e+00, 4.5237859685e-04
-2.2598293760e+00, 3.2992440281e+00, 1.1844662398e-03
-2.2594792320e+00, 3.2989728018e+00, -1.7412055541e-04
-2.2591290880e+00, 3.2987238987e+00, -4.7481336073e-04
-2.2587789440e+00, 3.2989845215e+00, 3.2848512473e-04
-2.2584288000e+00, 3.2986555340e+00, 3.3579595575e-04
-2.2580786560e+00, 3.2996249168e+00, 1.3711435660e-03
-2.2577285120e+00, 3.2994142421e+00, 7.9816416139e-04
-2.2573783680e+00, 3.2992032883e+00, 4.5544802972e-04
-2.2570282240e+00, 3.2986348851e+00, 2.9823725902e-04
-2.2566780800e+00, 3.2983667283e+00, 9.5247292284e-04
-2.2563279360e+00, 3.2989222957e+00, 1.6459973274e-03
-2.2559777920e+00, 3.2990258193e+00, 2.2615023292e-03
-2.2556276480e+00, 3.3002212239e+00, 1.2762143786e-03
-2.2552775040e+00, 3.2993835478e+00, 4.4317029825e-04
-2.2549273600e+00, 3.2999488815e+00, 2.0408938178e-04
-2.2545772160e+00, 3.2992917438e+00, 5.7833696018e-04
-2.2542270720e+00, 3.2995258578e+00, 8.2740748544e-04
-2.2538769280e+00, 3.2991315752e+00, -2.6665000441e-04
-2.2535267840e+00, 3.2989409913e+00, 4.9948043941e-05
-2.2531766400e+00, 3.2998182911e+00, 6.3565164300e-04
-2.2528264960e+00, 3.2999067466e+00, -2.3126781463e-04
-2.2524763520e+00, 3.2990830224e+00, 4.5818261537e-04
-2.2521262080e+00, 3.2988095638e+00, 1.4503349340e-03
-2.2517760640e+00, 3.2981429387e+00, 1.8179971837e-03
-2.2514259200e+00, 3.2981178252e+00, -5.1901319402e-05
-2.2510757760e+00, 3.2979283574e+00, 4.1800094873e-05
-2.2507256320e+00, 3.2982478575e+00, 6.8080021009e-04
-2.2503754880e+00, 3.2971819271e+00, 1.0861885801e-03
-2.2500253440e+00, 3.2964497278e+00, 9.9120358484e-04
-2.2496752000e+00, 3.2972050874e+00, 9.0637562195e-04
-2.2493250560e+00, 3.2975806744e+00, 8.4917255487e-04
-2.2489749120e+00, 3.2978454828e+00, 8.4024329561e-04
-2.2486247680e+00, 3.2977695840e+00, 5.5221887687e-04
-2.2482746240e+00, 3.2984275589e+00, -9.5040803163e-05
-2.2479244800e+00, 3.2987989603e+00, 2.7172852061e-04
-2.2475743360e+00, 3.2986823218e+00, 2.3305366648e-04
-2.2472241920e+00, 3.2985377794e+00, 7.2667427950e-04
-2.2468740480e+00, 3.2995490181e+00, 6.5998387446e-04
-2.2465239040e+00, 3.2980645287e+00, 4.5673161074e-04
-2.2461737600e+00, 3.2982163261e+00, -8.4498696459e-04
-2.2458236160e+00, 3.2985112707e+00, -6.4943618697e-04
-2.2454734720e+00, 3.2986337690e+00, 4.9568550423e-04
-2.2451233280e+00, 3.2985171305e+00, 1.0778732075e-03
-2.2447731840e+00, 3.2987584996e+00, 1.4886749409e-03
-2.2444230400e+00, 3.2988723476e+00, 8.0402398777e-04
-2.2440728960e+00, 3.2985349890e+00, 1.2512124527e-03
-2.2437227520e+00, 3.2985575912e+00, 5.3676009679e-04
-2.2433726080e+00, 3.2977405640e+00, 1.4495536238e-03
-2.2430224640e+00, 3.2985006672e+00, 2.1067471048e-04
-2.2426723200e+00, 3.2983907257e+00, -3.9629168718e-04
-2.2423221760e+00, 3.2978714334e+00, -1.0294877839e-03
-2.2419720320e+00, 3.2965401366e+00, -1.2450177791e-03
-2.2416218880e+00, 3.2984811344e+00, -8.7607194836e-04
-2.2412717440e+00, 3.2974645940e+00, -7.3934266607e-04
-2.2409216000e+00, 3.2975488639e+00, -1.6429837024e-04
-2.2405714560e+00, 3.2986862284e+00, -9.6932689967e-04
-2.2402213120e+00, 3.2982433929e+00, -9.9533336725e-04
-2.2398711680e+00, 3.2981716798e+00, -9.0849632102e-04
-2.2395210240e+00, 3.2981900964e+00, 5.5802289538e-04
-2.2391708800e+00, 3.2980737370e+00, 1.2134863323e-03
-2.2388207360e+00, 3.2974950093e+00, -1.1942884250e-05
-2.2384705920e+00, 3.2987130162e+00, -4.4423064779e-04
-2.2381204480e+00, 3.2990682333e+00, -1.1808387282e-03
-2.2377703040e+00, 3.2995565522e+00, 7.0317916609e-05
-2.2374201600e+00, 3.2987903101e+00, -4.5985685148e-05
-2.2370700160e+00, 3.2982634837e+00, 4.5433187232e-04
-2.2367198720e+00, 3.2974897076e+00, 8.2863525859e-04
-2.2363697280e+00, 3.2978585976e+00, -2.2451506232e-04
-2.2360195840e+00, 3.2982163261e+00, 7.1266650405e-05
-2.2356694400e+00, 3.2971562555e+00, -3.3858634926e-04
-2.2353192960e+00, 3.2977040098e+00, -2.0291741650e-04
-2.2349691520e+00, 3.2979038020e+00, -8.5709727245e-04
-2.2346190080e+00, 3.2962811881e+00, 2.2819838176e-04
-2.2342688640e+00, 3.2966258017e+00, -7.8689097158e-06
-2.2339187200e+00, 3.2973019141e+00, 2.1513934010e-04
-2.2335685760e+00, 3.2965153021e+00, -7.0820187442e-05
-2.2332184320e+00, 3.2973764176e+00, 1.2989281818e-03
-2.2328682880e+00, 3.2970627773e+00, 9.8489729550e-04
-2.2325181440e+00, 3.2970739389e+00, 8.0921411971e-05
-2.2321680000e+00, 3.2972971704e+00, 1.8416597207e-06
-2.2318178560e+00, 3.2971958791e+00, 3.7474984923e-04
-2.2314677120e+00, 3.2983709139e+00, -3.8323264552e-04
-2.2311175680e+00, 3.2985054109e+00, -2.0922370585e-04
-2.2307674240e+00, 3.2980349505e+00, -3.9098993950e-04
-2.2304172800e+00, 3.2971632315e+00, -7.4403052717e-04
-2.2300671360e+00, 3.2968077353e+00, -1.2138211796e-04
-2.2297169920e+00, 3.2965119536e+00, -1.4180779850e-04
-2.2293668480e+00, 3.2972444320e+00, 9.1530488120e-04
-2.2290167040e+00, 3.2965948283e+00, -1.2919521980e-04
-2.2286665600e+00, 3.2963149518e+00, 2.5883690257e-04
-2.2283164160e+00, 3.2957485019e+00, -2.4153646277e-04
-2.2279662720e+00, 3.2954859258e+00, 7.0987611053e-04
-2.2276161280e+00, 3.2963316942e+00, -5.4306638613e-04
-2.2272659840e+00, 3.2964826545e+00, -8.3438346923e-04
-2.2269158400e+00, 3.2953935638e+00, -4.8379842785e-04
-2.2265656960e+00, 3.2959279242e+00, -7.9063009889e-04
-2.2262155520e+00, 3.2953896573e+00, -4.4183090936e-04
-2.2258654080e+00, 3.2948483209e+00, -1.7029771630e-03
-2.2255152640e+00, 3.2955060167e+00, -1.6346125218e-03
-2.2251651200e+00, 3.2964148479e+00, -1.4672447187e-03
-2.2248149760e+00, 3.2970973782e+00, -9.8517633485e-04
-2.2244648320e+00, 3.2965147440e+00, 4.7347397184e-04
-2.2241146880e+00, 3.2961796177e+00, 1.3739897674e-04
-2.2237645440e+00, 3.2974018102e+00, 1.1895447560e-03
-2.2234144000e+00, 3.2966718432e+00, 2.2881226833e-06
-2.2230642560e+00, 3.2967625310e+00, 1.3209722906e-03
-2.2227141120e+00, 3.2971699284e+00, 1.1495863208e-03
-2.2223639680e+00, 3.2970443607e+00, -3.0666424744e-04
-2.2220138240e+00, 3.2972971704e+00, -3.1090564558e-04
-2.2216636800e+00, 3.2968113629e+00, -1.4295744062e-03
-2.2213135360e+00, 3.2966196628e+00, -1.1545532213e-03
-2.2209633920e+00, 3.2949978860e+00, -3.1263568956e-04
-2.2206132480e+00, 3.2951586127e+00, -1.3169541239e-03
-2.2202631040e+00, 3.2958017984e+00, -1.9763799197e-03
-2.2199129600e+00, 3.2961561784e+00, -1.9236414822e-03
-2.2195628160e+00, 3.2961514347e+00, -3.8652530987e-04
-2.2192126720e+00, 3.2964728881e+00, -1.1904934898e-03
-2.2188625280e+00, 3.2968713563e+00, -1.5521842973e-03
-2.2185123840e+00, 3.2973730691e+00, -5.5020979353e-04
