pix,Val
537,146.897
538,151.359
539,150
540,147.551
541,149.013
542,148.679
543,146.782
544,155.244
545,163.385
546,163.09
547,160.372
548,163
549,161.795
550,161.449
551,167.936
552,165.692
553,167.077
554,163.833
555,164.551
556,170.756
557,168.949
558,163.923
559,165.705
560,164.09
561,165.218
562,160.051
563,162.769
564,168.833
565,171.269
566,171.179
567,163.987
568,160.423
569,157.731
570,166.269
571,169.897
572,169.923
573,167.423
574,159.526
575,159.59
576,163.051
577,162.41
578,160.436
579,158.333
580,158.846
581,158.795
582,155.282
583,150.423
584,148.872
585,149.359
586,147.397
587,144.167
588,142.846
589,142.641
590,142.423
591,141.167
592,137.295
593,137.115
594,137.538
595,134.474
596,126.808
597,123.205
598,125.179
599,125.705
600,122.628
601,123.91
602,120.256
603,116.397
604,119.179
605,119.231
606,115.936
607,113.667
608,117.231
609,114.551
610,110.064
611,108.615
612,109.654
613,107.308
614,104.974
615,105.449
616,102.679
617,100.038
618,97.244
619,95.962
620,94.474
621,93.167
622,93.167
623,93.679
624,89.474
625,86.115
626,87.577
627,88.538
628,84.679
629,79.769
630,78.462
631,78.41
632,82.769
633,83.218
634,78.462
635,72.667
636,71.91
637,71.987
638,70.551
639,70.103
640,73.128
641,76.756
642,80.064
643,79.577
644,77.949
645,76.923
646,77.949
647,79.385
648,81.038
649,79.795
650,78.026
651,76.308
652,77.115
653,79.679
654,82.603
655,83.808
656,83.59
657,82.538
658,81.038
659,80.551
660,82.821
661,86
662,87.795
663,87.679
664,83.513
665,83.051
666,83.808
667,79.154
668,78.487
669,81.385
670,79.397
671,78.321
672,79.538
673,77.718
674,76.321
675,76.346
676,77.538
677,77.385
678,75.59
679,73.577
680,73.769
681,73.897
682,73.987
683,70.744
684,65.756
685,63.705
686,64.474
687,64.295
688,61.449
689,57.564
690,53.885
691,53.269
692,55.474
693,55.538
694,51.654
695,46.872
696,41.577
697,41.41
698,40.41
699,38.308
700,36.821
701,35.308
702,32.846
703,30.333
704,28.756
705,29.692
706,30.513
707,30.205
708,29.128
709,28.462
710,28.859
711,29.654
712,30.397
713,30.667
714,34.09
715,38.923
716,39.782
717,38.256
718,39.603
719,43.333
720,45.372
721,45.731
722,47.462
723,49.551
724,51.641
725,51.833
726,52.051
727,51.821
728,52.833
729,54.295
730,54.577
731,54.756
732,58.218
733,59.487
734,56.859
735,53.59
736,55.769
737,58.154
738,59.564
739,58.321
740,56.577
741,55.731
742,54.59
743,52.936
744,53
745,51.244
746,51.218
747,53.295
748,53.577
749,50.718
750,48.115
751,46.949
752,46.449
753,45.603
754,45.141
755,43.923
756,42.295
757,39.564
758,36.526
759,34.244
760,32.885
761,32.603
762,32.949
763,32.679
764,31.308
765,27.5
766,22.603
767,19.013
768,15.282
769,15.462
770,15.667
771,15.308
772,14.526
773,13.244
774,12.462
775,11.846
776,9.308
777,8.949
778,8.5
779,8.308
780,8.5
781,8.859
782,9.474
783,9.526
784,9.923
785,9.474
786,9.551
787,9.705
788,10.359
789,11.513
790,12.731
791,13.744
792,16.218
793,16.859
794,18.167
795,19.551
