% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 6.600 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 1.200 000 000 kHz, 10.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-26 T 10:00:44 -0400
% Time (s), Channel A (V)
-4.3683200000e-03, 4.3966782745e-02
-4.3677760000e-03, 4.3966782745e-02
-4.3672320000e-03, 4.3966782745e-02
-4.3666880000e-03, 4.3966782745e-02
-4.3661440000e-03, 4.3966782745e-02
-4.3656000000e-03, 4.1524183704e-02
-4.3650560000e-03, 4.3966782745e-02
-4.3645120000e-03, 4.3966782745e-02
-4.3639680000e-03, 4.3966782745e-02
-4.3634240000e-03, 4.3966782745e-02
-4.3628800000e-03, 4.3966782745e-02
-4.3623360000e-03, 4.3966782745e-02
-4.3617920000e-03, 4.1524183704e-02
-4.3612480000e-03, 4.3966782745e-02
-4.3607040000e-03, 4.3966782745e-02
-4.3601600000e-03, 4.3966782745e-02
-4.3596160000e-03, 4.3966782745e-02
-4.3590720000e-03, 4.1524183704e-02
-4.3585280000e-03, 4.3966782745e-02
-4.3579840000e-03, 4.3966782745e-02
-4.3574400000e-03, 4.3966782745e-02
-4.3568960000e-03, 4.1524183704e-02
-4.3563520000e-03, 4.3966782745e-02
-4.3558080000e-03, 4.3966782745e-02
-4.3552640000e-03, 4.3966782745e-02
-4.3547200000e-03, 4.1524183704e-02
-4.3541760000e-03, 4.1524183704e-02
-4.3536320000e-03, 4.3966782745e-02
-4.3530880000e-03, 4.1524183704e-02
-4.3525440000e-03, 4.1524183704e-02
-4.3520000000e-03, 4.3966782745e-02
-4.3514560000e-03, 4.3966782745e-02
-4.3509120000e-03, 4.3966782745e-02
-4.3503680000e-03, 4.1524183704e-02
-4.3498240000e-03, 4.1524183704e-02
-4.3492800000e-03, 4.1524183704e-02
-4.3487360000e-03, 4.3966782745e-02
-4.3481920000e-03, 4.3966782745e-02
-4.3476480000e-03, 4.3966782745e-02
-4.3471040000e-03, 4.1524183704e-02
-4.3465600000e-03, 4.3966782745e-02
-4.3460160000e-03, 4.3966782745e-02
-4.3454720000e-03, 4.3966782745e-02
-4.3449280000e-03, 4.3966782745e-02
-4.3443840000e-03, 4.3966782745e-02
-4.3438400000e-03, 4.1524183704e-02
-4.3432960000e-03, 4.3966782745e-02
-4.3427520000e-03, 4.3966782745e-02
-4.3422080000e-03, 4.3966782745e-02
-4.3416640000e-03, 4.3966782745e-02
-4.3411200000e-03, 4.3966782745e-02
-4.3405760000e-03, 4.3966782745e-02
-4.3400320000e-03, 4.3966782745e-02
-4.3394880000e-03, 4.1524183704e-02
-4.3389440000e-03, 4.1524183704e-02
-4.3384000000e-03, 4.3966782745e-02
-4.3378560000e-03, 4.3966782745e-02
-4.3373120000e-03, 4.1524183704e-02
-4.3367680000e-03, 4.1524183704e-02
-4.3362240000e-03, 4.1524183704e-02
-4.3356800000e-03, 4.1524183704e-02
-4.3351360000e-03, 4.3966782745e-02
-4.3345920000e-03, 4.1524183704e-02
-4.3340480000e-03, 4.3966782745e-02
-4.3335040000e-03, 4.1524183704e-02
-4.3329600000e-03, 4.1524183704e-02
-4.3324160000e-03, 4.1524183704e-02
-4.3318720000e-03, 4.1524183704e-02
-4.3313280000e-03, 4.3966782745e-02
-4.3307840000e-03, 4.3966782745e-02
-4.3302400000e-03, 4.3966782745e-02
-4.3296960000e-03, 4.1524183704e-02
-4.3291520000e-03, 4.3966782745e-02
-4.3286080000e-03, 4.1524183704e-02
-4.3280640000e-03, 4.3966782745e-02
-4.3275200000e-03, 4.1524183704e-02
-4.3269760000e-03, 4.1524183704e-02
-4.3264320000e-03, 4.1524183704e-02
-4.3258880000e-03, 3.9081584662e-02
-4.3253440000e-03, 4.1524183704e-02
-4.3248000000e-03, 4.1524183704e-02
-4.3242560000e-03, 4.1524183704e-02
-4.3237120000e-03, 4.1524183704e-02
-4.3231680000e-03, 4.3966782745e-02
-4.3226240000e-03, 4.1524183704e-02
-4.3220800000e-03, 4.1524183704e-02
-4.3215360000e-03, 4.1524183704e-02
-4.3209920000e-03, 3.9081584662e-02
-4.3204480000e-03, 4.3966782745e-02
-4.3199040000e-03, 4.1524183704e-02
-4.3193600000e-03, 4.1524183704e-02
-4.3188160000e-03, 4.1524183704e-02
-4.3182720000e-03, 4.1524183704e-02
-4.3177280000e-03, 4.1524183704e-02
-4.3171840000e-03, 4.3966782745e-02
-4.3166400000e-03, 4.1524183704e-02
-4.3160960000e-03, 4.1524183704e-02
-4.3155520000e-03, 4.1524183704e-02
-4.3150080000e-03, 4.1524183704e-02
-4.3144640000e-03, 4.1524183704e-02
-4.3139200000e-03, 4.1524183704e-02
-4.3133760000e-03, 4.1524183704e-02
-4.3128320000e-03, 4.1524183704e-02
-4.3122880000e-03, 4.1524183704e-02
-4.3117440000e-03, 4.1524183704e-02
-4.3112000000e-03, 4.1524183704e-02
-4.3106560000e-03, 3.9081584662e-02
-4.3101120000e-03, 3.9081584662e-02
-4.3095680000e-03, 4.1524183704e-02
-4.3090240000e-03, 4.1524183704e-02
-4.3084800000e-03, 4.1524183704e-02
-4.3079360000e-03, 4.1524183704e-02
-4.3073920000e-03, 4.3966782745e-02
-4.3068480000e-03, 4.1524183704e-02
-4.3063040000e-03, 4.1524183704e-02
-4.3057600000e-03, 4.1524183704e-02
-4.3052160000e-03, 4.1524183704e-02
-4.3046720000e-03, 4.1524183704e-02
-4.3041280000e-03, 3.9081584662e-02
-4.3035840000e-03, 4.1524183704e-02
-4.3030400000e-03, 4.1524183704e-02
-4.3024960000e-03, 4.1524183704e-02
-4.3019520000e-03, 4.1524183704e-02
-4.3014080000e-03, 4.1524183704e-02
-4.3008640000e-03, 4.1524183704e-02
-4.3003200000e-03, 4.1524183704e-02
-4.2997760000e-03, 4.1524183704e-02
-4.2992320000e-03, 4.1524183704e-02
-4.2986880000e-03, 4.1524183704e-02
-4.2981440000e-03, 4.1524183704e-02
-4.2976000000e-03, 4.1524183704e-02
-4.2970560000e-03, 3.9081584662e-02
-4.2965120000e-03, 4.1524183704e-02
-4.2959680000e-03, 4.1524183704e-02
-4.2954240000e-03, 4.1524183704e-02
-4.2948800000e-03, 4.3966782745e-02
-4.2943360000e-03, 3.9081584662e-02
-4.2937920000e-03, 4.1524183704e-02
-4.2932480000e-03, 3.9081584662e-02
-4.2927040000e-03, 4.1524183704e-02
-4.2921600000e-03, 4.1524183704e-02
-4.2916160000e-03, 4.3966782745e-02
-4.2910720000e-03, 4.3966782745e-02
-4.2905280000e-03, 4.3966782745e-02
-4.2899840000e-03, 4.1524183704e-02
-4.2894400000e-03, 4.1524183704e-02
-4.2888960000e-03, 4.3966782745e-02
