% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 11.00 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 900.000 000 Hz, 5.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-26 T 09:56:20 -0400
% Time (s), Channel A (V)
-7.3766400000e-03, 1.7098193290e-02
-7.3757360000e-03, 1.7098193290e-02
-7.3748320000e-03, 1.7098193290e-02
-7.3739280000e-03, 1.7098193290e-02
-7.3730240000e-03, 1.7098193290e-02
-7.3721200000e-03, 1.7098193290e-02
-7.3712160000e-03, 1.7098193290e-02
-7.3703120000e-03, 1.7098193290e-02
-7.3694080000e-03, 1.7098193290e-02
-7.3685040000e-03, 1.7098193290e-02
-7.3676000000e-03, 1.7098193290e-02
-7.3666960000e-03, 1.7098193290e-02
-7.3657920000e-03, 1.4655594248e-02
-7.3648880000e-03, 1.7098193290e-02
-7.3639840000e-03, 1.7098193290e-02
-7.3630800000e-03, 1.7098193290e-02
-7.3621760000e-03, 1.4655594248e-02
-7.3612720000e-03, 1.7098193290e-02
-7.3603680000e-03, 1.9540792331e-02
-7.3594640000e-03, 1.7098193290e-02
-7.3585600000e-03, 1.7098193290e-02
-7.3576560000e-03, 1.7098193290e-02
-7.3567520000e-03, 1.7098193290e-02
-7.3558480000e-03, 1.7098193290e-02
-7.3549440000e-03, 1.7098193290e-02
-7.3540400000e-03, 1.9540792331e-02
-7.3531360000e-03, 1.7098193290e-02
-7.3522320000e-03, 1.7098193290e-02
-7.3513280000e-03, 1.7098193290e-02
-7.3504240000e-03, 1.7098193290e-02
-7.3495200000e-03, 1.7098193290e-02
-7.3486160000e-03, 1.4655594248e-02
-7.3477120000e-03, 1.4655594248e-02
-7.3468080000e-03, 1.7098193290e-02
-7.3459040000e-03, 1.7098193290e-02
-7.3450000000e-03, 1.7098193290e-02
-7.3440960000e-03, 1.7098193290e-02
-7.3431920000e-03, 1.4655594248e-02
-7.3422880000e-03, 1.7098193290e-02
-7.3413840000e-03, 1.7098193290e-02
-7.3404800000e-03, 1.7098193290e-02
-7.3395760000e-03, 1.4655594248e-02
-7.3386720000e-03, 1.7098193290e-02
-7.3377680000e-03, 1.7098193290e-02
-7.3368640000e-03, 1.7098193290e-02
-7.3359600000e-03, 1.7098193290e-02
-7.3350560000e-03, 1.7098193290e-02
-7.3341520000e-03, 1.7098193290e-02
-7.3332480000e-03, 1.7098193290e-02
-7.3323440000e-03, 1.7098193290e-02
-7.3314400000e-03, 1.7098193290e-02
-7.3305360000e-03, 1.9540792331e-02
-7.3296320000e-03, 1.7098193290e-02
-7.3287280000e-03, 1.7098193290e-02
-7.3278240000e-03, 1.7098193290e-02
-7.3269200000e-03, 1.9540792331e-02
-7.3260160000e-03, 1.4655594248e-02
-7.3251120000e-03, 1.4655594248e-02
-7.3242080000e-03, 1.4655594248e-02
-7.3233040000e-03, 1.4655594248e-02
-7.3224000000e-03, 1.4655594248e-02
-7.3214960000e-03, 1.7098193290e-02
-7.3205920000e-03, 1.7098193290e-02
-7.3196880000e-03, 1.7098193290e-02
-7.3187840000e-03, 1.7098193290e-02
-7.3178800000e-03, 1.7098193290e-02
-7.3169760000e-03, 1.7098193290e-02
-7.3160720000e-03, 1.4655594248e-02
-7.3151680000e-03, 1.4655594248e-02
-7.3142640000e-03, 1.4655594248e-02
-7.3133600000e-03, 1.7098193290e-02
-7.3124560000e-03, 1.7098193290e-02
-7.3115520000e-03, 1.7098193290e-02
-7.3106480000e-03, 1.4655594248e-02
-7.3097440000e-03, 1.7098193290e-02
-7.3088400000e-03, 1.7098193290e-02
-7.3079360000e-03, 1.7098193290e-02
-7.3070320000e-03, 1.4655594248e-02
-7.3061280000e-03, 1.4655594248e-02
-7.3052240000e-03, 1.4655594248e-02
-7.3043200000e-03, 1.7098193290e-02
-7.3034160000e-03, 1.7098193290e-02
-7.3025120000e-03, 1.7098193290e-02
-7.3016080000e-03, 1.4655594248e-02
-7.3007040000e-03, 1.4655594248e-02
-7.2998000000e-03, 1.4655594248e-02
-7.2988960000e-03, 1.4655594248e-02
-7.2979920000e-03, 1.7098193290e-02
-7.2970880000e-03, 1.4655594248e-02
-7.2961840000e-03, 1.4655594248e-02
-7.2952800000e-03, 1.7098193290e-02
-7.2943760000e-03, 1.4655594248e-02
-7.2934720000e-03, 1.7098193290e-02
-7.2925680000e-03, 1.4655594248e-02
-7.2916640000e-03, 1.7098193290e-02
-7.2907600000e-03, 1.4655594248e-02
-7.2898560000e-03, 1.7098193290e-02
-7.2889520000e-03, 1.4655594248e-02
-7.2880480000e-03, 1.4655594248e-02
-7.2871440000e-03, 1.4655594248e-02
-7.2862400000e-03, 1.4655594248e-02
-7.2853360000e-03, 1.4655594248e-02
-7.2844320000e-03, 1.9540792331e-02
-7.2835280000e-03, 1.4655594248e-02
-7.2826240000e-03, 1.4655594248e-02
-7.2817200000e-03, 1.7098193290e-02
-7.2808160000e-03, 1.4655594248e-02
-7.2799120000e-03, 1.7098193290e-02
-7.2790080000e-03, 1.4655594248e-02
-7.2781040000e-03, 1.4655594248e-02
-7.2772000000e-03, 1.4655594248e-02
-7.2762960000e-03, 1.7098193290e-02
-7.2753920000e-03, 1.4655594248e-02
-7.2744880000e-03, 1.4655594248e-02
-7.2735840000e-03, 1.9540792331e-02
-7.2726800000e-03, 1.4655594248e-02
-7.2717760000e-03, 1.4655594248e-02
-7.2708720000e-03, 1.4655594248e-02
-7.2699680000e-03, 1.7098193290e-02
-7.2690640000e-03, 1.4655594248e-02
-7.2681600000e-03, 1.7098193290e-02
-7.2672560000e-03, 1.4655594248e-02
-7.2663520000e-03, 1.4655594248e-02
-7.2654480000e-03, 1.4655594248e-02
-7.2645440000e-03, 1.7098193290e-02
-7.2636400000e-03, 1.4655594248e-02
-7.2627360000e-03, 1.7098193290e-02
-7.2618320000e-03, 1.7098193290e-02
-7.2609280000e-03, 1.4655594248e-02
-7.2600240000e-03, 1.4655594248e-02
-7.2591200000e-03, 1.4655594248e-02
-7.2582160000e-03, 1.4655594248e-02
-7.2573120000e-03, 1.2212995207e-02
-7.2564080000e-03, 1.4655594248e-02
-7.2555040000e-03, 1.4655594248e-02
-7.2546000000e-03, 1.4655594248e-02
-7.2536960000e-03, 1.7098193290e-02
-7.2527920000e-03, 1.2212995207e-02
-7.2518880000e-03, 1.4655594248e-02
-7.2509840000e-03, 1.4655594248e-02
-7.2500800000e-03, 1.4655594248e-02
-7.2491760000e-03, 1.4655594248e-02
-7.2482720000e-03, 1.4655594248e-02
-7.2473680000e-03, 1.4655594248e-02
-7.2464640000e-03, 1.4655594248e-02
-7.2455600000e-03, 1.4655594248e-02
-7.2446560000e-03, 1.4655594248e-02
-7.2437520000e-03, 1.4655594248e-02
-7.2428480000e-03, 1.4655594248e-02
-7.2419440000e-03, 1.4655594248e-02
-7.2410400000e-03, 1.7098193290e-02
-7.2401360000e-03, 1.4655594248e-02
-7.2392320000e-03, 1.4655594248e-02
-7.2383280000e-03, 1.7098193290e-02
-7.2374240000e-03, 1.4655594248e-02
-7.2365200000e-03, 1.4655594248e-02
-7.2356160000e-03, 1.4655594248e-02
-7.2347120000e-03, 1.4655594248e-02
-7.2338080000e-03, 1.4655594248e-02
-7.2329040000e-03, 1.2212995207e-02
-7.2320000000e-03, 1.4655594248e-02
-7.2310960000e-03, 1.4655594248e-02
-7.2301920000e-03, 1.4655594248e-02
-7.2292880000e-03, 1.4655594248e-02
-7.2283840000e-03, 1.4655594248e-02
-7.2274800000e-03, 1.4655594248e-02
-7.2265760000e-03, 1.7098193290e-02
-7.2256720000e-03, 1.7098193290e-02
-7.2247680000e-03, 1.4655594248e-02
-7.2238640000e-03, 1.4655594248e-02
-7.2229600000e-03, 1.4655594248e-02
-7.2220560000e-03, 1.4655594248e-02
-7.2211520000e-03, 1.4655594248e-02
-7.2202480000e-03, 1.4655594248e-02
-7.2193440000e-03, 1.4655594248e-02
-7.2184400000e-03, 1.4655594248e-02
-7.2175360000e-03, 1.4655594248e-02
-7.2166320000e-03, 1.4655594248e-02
-7.2157280000e-03, 1.4655594248e-02
-7.2148240000e-03, 1.7098193290e-02
-7.2139200000e-03, 1.2212995207e-02
-7.2130160000e-03, 1.4655594248e-02
-7.2121120000e-03, 1.4655594248e-02
-7.2112080000e-03, 1.4655594248e-02
-7.2103040000e-03, 1.7098193290e-02
-7.2094000000e-03, 1.4655594248e-02
-7.2084960000e-03, 1.4655594248e-02
-7.2075920000e-03, 1.4655594248e-02
-7.2066880000e-03, 1.4655594248e-02
-7.2057840000e-03, 1.4655594248e-02
-7.2048800000e-03, 1.4655594248e-02
-7.2039760000e-03, 1.4655594248e-02
-7.2030720000e-03, 1.4655594248e-02
-7.2021680000e-03, 1.4655594248e-02
-7.2012640000e-03, 1.4655594248e-02
-7.2003600000e-03, 1.4655594248e-02
-7.1994560000e-03, 1.4655594248e-02
-7.1985520000e-03, 1.7098193290e-02
-7.1976480000e-03, 1.4655594248e-02
-7.1967440000e-03, 1.4655594248e-02
-7.1958400000e-03, 1.4655594248e-02
-7.1949360000e-03, 1.7098193290e-02
-7.1940320000e-03, 1.4655594248e-02
-7.1931280000e-03, 1.7098193290e-02
-7.1922240000e-03, 1.4655594248e-02
-7.1913200000e-03, 1.4655594248e-02
-7.1904160000e-03, 1.4655594248e-02
-7.1895120000e-03, 1.4655594248e-02
-7.1886080000e-03, 1.4655594248e-02
-7.1877040000e-03, 1.4655594248e-02
-7.1868000000e-03, 1.4655594248e-02
-7.1858960000e-03, 1.4655594248e-02
-7.1849920000e-03, 1.4655594248e-02
-7.1840880000e-03, 1.4655594248e-02
-7.1831840000e-03, 1.4655594248e-02
-7.1822800000e-03, 1.7098193290e-02
-7.1813760000e-03, 1.4655594248e-02
-7.1804720000e-03, 1.7098193290e-02
-7.1795680000e-03, 1.7098193290e-02
-7.1786640000e-03, 1.4655594248e-02
-7.1777600000e-03, 1.4655594248e-02
-7.1768560000e-03, 1.4655594248e-02
-7.1759520000e-03, 1.4655594248e-02
-7.1750480000e-03, 1.4655594248e-02
-7.1741440000e-03, 1.2212995207e-02
-7.1732400000e-03, 1.4655594248e-02
-7.1723360000e-03, 1.4655594248e-02
-7.1714320000e-03, 1.4655594248e-02
-7.1705280000e-03, 1.2212995207e-02
-7.1696240000e-03, 1.4655594248e-02
-7.1687200000e-03, 1.4655594248e-02
-7.1678160000e-03, 1.4655594248e-02
-7.1669120000e-03, 1.4655594248e-02
-7.1660080000e-03, 1.2212995207e-02
-7.1651040000e-03, 1.4655594248e-02
-7.1642000000e-03, 1.4655594248e-02
-7.1632960000e-03, 1.2212995207e-02
-7.1623920000e-03, 1.2212995207e-02
-7.1614880000e-03, 1.4655594248e-02
-7.1605840000e-03, 1.4655594248e-02
-7.1596800000e-03, 1.4655594248e-02
-7.1587760000e-03, 1.7098193290e-02
-7.1578720000e-03, 1.4655594248e-02
-7.1569680000e-03, 1.4655594248e-02
-7.1560640000e-03, 1.4655594248e-02
-7.1551600000e-03, 1.4655594248e-02
-7.1542560000e-03, 1.4655594248e-02
-7.1533520000e-03, 1.4655594248e-02
-7.1524480000e-03, 1.4655594248e-02
-7.1515440000e-03, 1.2212995207e-02
-7.1506400000e-03, 1.2212995207e-02
-7.1497360000e-03, 1.4655594248e-02
-7.1488320000e-03, 1.4655594248e-02
-7.1479280000e-03, 1.4655594248e-02
-7.1470240000e-03, 1.4655594248e-02
-7.1461200000e-03, 1.2212995207e-02
-7.1452160000e-03, 1.7098193290e-02
-7.1443120000e-03, 1.4655594248e-02
-7.1434080000e-03, 1.2212995207e-02
-7.1425040000e-03, 1.4655594248e-02
-7.1416000000e-03, 1.2212995207e-02
-7.1406960000e-03, 1.4655594248e-02
-7.1397920000e-03, 1.2212995207e-02
-7.1388880000e-03, 1.4655594248e-02
-7.1379840000e-03, 1.4655594248e-02
-7.1370800000e-03, 1.4655594248e-02
-7.1361760000e-03, 1.4655594248e-02
-7.1352720000e-03, 1.4655594248e-02
-7.1343680000e-03, 1.4655594248e-02
-7.1334640000e-03, 1.2212995207e-02
-7.1325600000e-03, 1.4655594248e-02
-7.1316560000e-03, 1.4655594248e-02
-7.1307520000e-03, 1.2212995207e-02
-7.1298480000e-03, 1.4655594248e-02
-7.1289440000e-03, 1.7098193290e-02
-7.1280400000e-03, 1.4655594248e-02
-7.1271360000e-03, 1.4655594248e-02
-7.1262320000e-03, 1.7098193290e-02
-7.1253280000e-03, 1.4655594248e-02
-7.1244240000e-03, 1.4655594248e-02
-7.1235200000e-03, 1.4655594248e-02
-7.1226160000e-03, 1.4655594248e-02
-7.1217120000e-03, 1.4655594248e-02
-7.1208080000e-03, 1.4655594248e-02
-7.1199040000e-03, 1.4655594248e-02
-7.1190000000e-03, 1.2212995207e-02
