% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 17.00 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 600.000 000 Hz, 10.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-26 T 09:54:11 -0400
% Time (s), Channel A (V)
-1.1358720000e-02, 6.8392773159e-01
-1.1357328000e-02, 6.7904253351e-01
-1.1355936000e-02, 6.6927213734e-01
-1.1354544000e-02, 6.6682953830e-01
-1.1353152000e-02, 6.6194434022e-01
-1.1351760000e-02, 6.6194434022e-01
-1.1350368000e-02, 6.5461654309e-01
-1.1348976000e-02, 6.5217394405e-01
-1.1347584000e-02, 6.4728874597e-01
-1.1346192000e-02, 6.4240354788e-01
-1.1344800000e-02, 6.4240354788e-01
-1.1343408000e-02, 6.3996094884e-01
-1.1342016000e-02, 6.3019055268e-01
-1.1340624000e-02, 6.2774795364e-01
-1.1339232000e-02, 6.2286275555e-01
-1.1337840000e-02, 6.2042015651e-01
-1.1336448000e-02, 6.2042015651e-01
-1.1335056000e-02, 6.1797755747e-01
-1.1333664000e-02, 6.1553495843e-01
-1.1332272000e-02, 6.0820716131e-01
-1.1330880000e-02, 6.0576456226e-01
-1.1329488000e-02, 5.9843676514e-01
-1.1328096000e-02, 6.0332196322e-01
-1.1326704000e-02, 5.9843676514e-01
-1.1325312000e-02, 5.9599416610e-01
-1.1323920000e-02, 5.8866636897e-01
-1.1322528000e-02, 5.8866636897e-01
-1.1321136000e-02, 5.8622376993e-01
-1.1319744000e-02, 5.8378117089e-01
-1.1318352000e-02, 5.8378117089e-01
-1.1316960000e-02, 5.7889597281e-01
-1.1315568000e-02, 5.7889597281e-01
-1.1314176000e-02, 5.7645337377e-01
-1.1312784000e-02, 5.7156817568e-01
-1.1311392000e-02, 5.6912557664e-01
-1.1310000000e-02, 5.6668297760e-01
-1.1308608000e-02, 5.6668297760e-01
