% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 100.0 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 100.000 000 Hz, 5.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-26 T 09:51:01 -0400
% Time (s), Channel A (V)
-5.7185280000e-02, 1.4899854152e-01
-5.7178272000e-02, 1.4167074440e-01
-5.7171264000e-02, 1.3922814536e-01
-5.7164256000e-02, 1.3434294728e-01
-5.7157248000e-02, 1.3190034823e-01
-5.7150240000e-02, 1.2701515015e-01
-5.7143232000e-02, 1.2457255111e-01
-5.7136224000e-02, 1.1968735303e-01
-5.7129216000e-02, 1.1724475399e-01
-5.7122208000e-02, 1.1480215495e-01
-5.7115200000e-02, 1.0991695686e-01
-5.7108192000e-02, 1.0991695686e-01
-5.7101184000e-02, 1.0747435782e-01
-5.7094176000e-02, 1.0747435782e-01
-5.7087168000e-02, 1.0503175878e-01
-5.7080160000e-02, 1.0503175878e-01
-5.7073152000e-02, 1.0503175878e-01
-5.7066144000e-02, 1.0503175878e-01
-5.7059136000e-02, 1.0503175878e-01
-5.7052128000e-02, 1.0503175878e-01
-5.7045120000e-02, 1.0747435782e-01
-5.7038112000e-02, 1.0747435782e-01
-5.7031104000e-02, 1.0747435782e-01
-5.7024096000e-02, 1.0991695686e-01
-5.7017088000e-02, 1.1235955590e-01
-5.7010080000e-02, 1.1235955590e-01
-5.7003072000e-02, 1.1724475399e-01
-5.6996064000e-02, 1.1968735303e-01
-5.6989056000e-02, 1.2457255111e-01
-5.6982048000e-02, 1.2701515015e-01
-5.6975040000e-02, 1.2945774919e-01
-5.6968032000e-02, 1.3434294728e-01
-5.6961024000e-02, 1.3922814536e-01
-5.6954016000e-02, 1.4411334344e-01
-5.6947008000e-02, 1.5144114057e-01
-5.6940000000e-02, 1.5632633865e-01
-5.6932992000e-02, 1.6121153673e-01
-5.6925984000e-02, 1.6853933386e-01
-5.6918976000e-02, 1.7342453194e-01
-5.6911968000e-02, 1.8075232906e-01
-5.6904960000e-02, 1.8808012619e-01
-5.6897952000e-02, 1.9785052235e-01
-5.6890944000e-02, 2.0762091852e-01
-5.6883936000e-02, 2.1494871564e-01
-5.6876928000e-02, 2.2227651277e-01
-5.6869920000e-02, 2.2960430989e-01
-5.6862912000e-02, 2.3937470606e-01
-5.6855904000e-02, 2.4670250318e-01
-5.6848896000e-02, 2.5891549839e-01
-5.6841888000e-02, 2.6868589455e-01
-5.6834880000e-02, 2.7845629072e-01
-5.6827872000e-02, 2.9066928593e-01
-5.6820864000e-02, 3.0288228113e-01
-5.6813856000e-02, 3.1265267730e-01
-5.6806848000e-02, 3.2242307346e-01
-5.6799840000e-02, 3.3463606867e-01
-5.6792832000e-02, 3.4684906388e-01
-5.6785824000e-02, 3.5906205908e-01
-5.6778816000e-02, 3.6883245525e-01
-5.6771808000e-02, 3.8348804950e-01
-5.6764800000e-02, 3.9570104470e-01
-5.6757792000e-02, 4.1035663895e-01
-5.6750784000e-02, 4.2256963416e-01
-5.6743776000e-02, 4.3478262937e-01
-5.6736768000e-02, 4.4943822362e-01
-5.6729760000e-02, 4.6897901595e-01
-5.6722752000e-02, 4.7874941211e-01
-5.6715744000e-02, 4.9584760540e-01
-5.6708736000e-02, 5.0806060061e-01
-5.6701728000e-02, 5.2271619486e-01
-5.6694720000e-02, 5.3737178911e-01
-5.6687712000e-02, 5.5446998239e-01
