% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 33.00 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 300.000 000 Hz, 10.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-26 T 09:53:26 -0400
% Time (s), Channel A (V)
-2.1761792000e-02, 9.2818763573e-01
-2.1759088000e-02, 9.4040063093e-01
-2.1756384000e-02, 9.4528582902e-01
-2.1753680000e-02, 9.5994142327e-01
-2.1750976000e-02, 9.6971181943e-01
-2.1748272000e-02, 9.8192481464e-01
-2.1745568000e-02, 9.9169521080e-01
-2.1742864000e-02, 9.9902300793e-01
-2.1740160000e-02, 1.0087934041e+00
-2.1737456000e-02, 1.0185638003e+00
-2.1734752000e-02, 1.0258915974e+00
-2.1732048000e-02, 1.0332193945e+00
-2.1729344000e-02, 1.0429897907e+00
-2.1726640000e-02, 1.0503175878e+00
-2.1723936000e-02, 1.0576453849e+00
-2.1721232000e-02, 1.0649731820e+00
-2.1718528000e-02, 1.0723009792e+00
-2.1715824000e-02, 1.0820713753e+00
-2.1713120000e-02, 1.0845139744e+00
-2.1710416000e-02, 1.0942843705e+00
-2.1707712000e-02, 1.0991695686e+00
-2.1705008000e-02, 1.1064973657e+00
-2.1702304000e-02, 1.1113825638e+00
-2.1699600000e-02, 1.1162677619e+00
-2.1696896000e-02, 1.1211529600e+00
-2.1694192000e-02, 1.1235955590e+00
-2.1691488000e-02, 1.1284807571e+00
-2.1688784000e-02, 1.1284807571e+00
-2.1686080000e-02, 1.1382511533e+00
-2.1683376000e-02, 1.1406937523e+00
-2.1680672000e-02, 1.1406937523e+00
-2.1677968000e-02, 1.1406937523e+00
-2.1675264000e-02, 1.1431363514e+00
-2.1672560000e-02, 1.1455789504e+00
-2.1669856000e-02, 1.1455789504e+00
-2.1667152000e-02, 1.1504641485e+00
-2.1664448000e-02, 1.1455789504e+00
-2.1661744000e-02, 1.1504641485e+00
-2.1659040000e-02, 1.1504641485e+00
-2.1656336000e-02, 1.1504641485e+00
-2.1653632000e-02, 1.1455789504e+00
-2.1650928000e-02, 1.1455789504e+00
-2.1648224000e-02, 1.1406937523e+00
-2.1645520000e-02, 1.1406937523e+00
-2.1642816000e-02, 1.1406937523e+00
-2.1640112000e-02, 1.1333659552e+00
-2.1637408000e-02, 1.1333659552e+00
-2.1634704000e-02, 1.1309233562e+00
-2.1632000000e-02, 1.1260381581e+00
-2.1629296000e-02, 1.1235955590e+00
-2.1626592000e-02, 1.1138251629e+00
-2.1623888000e-02, 1.1089399648e+00
-2.1621184000e-02, 1.1089399648e+00
-2.1618480000e-02, 1.0991695686e+00
-2.1615776000e-02, 1.0967269696e+00
-2.1613072000e-02, 1.0893991725e+00
-2.1610368000e-02, 1.0845139744e+00
-2.1607664000e-02, 1.0723009792e+00
-2.1604960000e-02, 1.0698583801e+00
-2.1602256000e-02, 1.0600879840e+00
-2.1599552000e-02, 1.0552027859e+00
-2.1596848000e-02, 1.0478749888e+00
-2.1594144000e-02, 1.0356619935e+00
-2.1591440000e-02, 1.0307767955e+00
-2.1588736000e-02, 1.0185638003e+00
-2.1586032000e-02, 1.0112360031e+00
-2.1583328000e-02, 1.0063508051e+00
-2.1580624000e-02, 9.9658040889e-01
-2.1577920000e-02, 9.8681001272e-01
-2.1575216000e-02, 9.7948221560e-01
-2.1572512000e-02, 9.6971181943e-01
-2.1569808000e-02, 9.5505622518e-01
-2.1567104000e-02, 9.4772842806e-01
-2.1564400000e-02, 9.4040063093e-01
-2.1561696000e-02, 9.3063023477e-01
-2.1558992000e-02, 9.2085983860e-01
-2.1556288000e-02, 9.0864684340e-01
-2.1553584000e-02, 8.9643384819e-01
-2.1550880000e-02, 8.8910605107e-01
-2.1548176000e-02, 8.7445045682e-01
-2.1545472000e-02, 8.6468006065e-01
-2.1542768000e-02, 8.5490966449e-01
-2.1540064000e-02, 8.4513926832e-01
-2.1537360000e-02, 8.3781147120e-01
-2.1534656000e-02, 8.2559847599e-01
-2.1531952000e-02, 8.1582807982e-01
-2.1529248000e-02, 8.0605768366e-01
-2.1526544000e-02, 7.9628728749e-01
-2.1523840000e-02, 7.8651689133e-01
-2.1521136000e-02, 7.7430389612e-01
-2.1518432000e-02, 7.6209090091e-01
-2.1515728000e-02, 7.4987790571e-01
-2.1513024000e-02, 7.4010750954e-01
-2.1510320000e-02, 7.3033711337e-01
-2.1507616000e-02, 7.2300931625e-01
-2.1504912000e-02, 7.0835372200e-01
-2.1502208000e-02, 7.0102592488e-01
-2.1499504000e-02, 6.9125552871e-01
-2.1496800000e-02, 6.8148513255e-01
-2.1494096000e-02, 6.7171473638e-01
-2.1491392000e-02, 6.6682953830e-01
-2.1488688000e-02, 6.5461654309e-01
-2.1485984000e-02, 6.4240354788e-01
-2.1483280000e-02, 6.3507575076e-01
-2.1480576000e-02, 6.2774795364e-01
-2.1477872000e-02, 6.1797755747e-01
-2.1475168000e-02, 6.0820716131e-01
-2.1472464000e-02, 6.0087936418e-01
-2.1469760000e-02, 5.9355156706e-01
-2.1467056000e-02, 5.8622376993e-01
-2.1464352000e-02, 5.7889597281e-01
-2.1461648000e-02, 5.7156817568e-01
-2.1458944000e-02, 5.6424037856e-01
-2.1456240000e-02, 5.5691258144e-01
-2.1453536000e-02, 5.5202738335e-01
-2.1450832000e-02, 5.4225698719e-01
-2.1448128000e-02, 5.3492919006e-01
-2.1445424000e-02, 5.3004399198e-01
-2.1442720000e-02, 5.2271619486e-01
-2.1440016000e-02, 5.1538839773e-01
-2.1437312000e-02, 5.1050319965e-01
-2.1434608000e-02, 5.0806060061e-01
-2.1431904000e-02, 5.0073280348e-01
-2.1429200000e-02, 4.9829020444e-01
